service_id;service_name_en;service_name_fr;department_en;department_fr;org_id;fiscal_yr_first;fiscal_yr_latest
1000;Reconciliation;Réconciliation;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1010;Fisheries and Aquaculture Clean Technology Adoption Program (FACTAP);Programme d'adoption des technologies propres pour les pêches et l'aquaculture (PTPPA);Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1014;National Indigenous Representative Organizations;Organisations autochtones représentatives nationale;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1015;MPA Activity Plan Application Process - Anguniaqvia niqiqyuam MPA;Processus de demande d'activités pour la ZPM -  Anguniaqvia niqiqyuam;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1016;MPA Activity Plan Application Process - SGaan Kinghlas-Bowie Seamount MPA;Processus de demande d'activités pour la ZPM - Mont sous-marin SGaan Kinghlas-Bowie;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1017;MPA Activity Plan Application Process - Eastport MPA;Processus de demande d'activités pour la ZPM - Eastport;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1018;MPA Activity Plan Application Process - Endeavour Hydrothermal Vents;Processus de demande d'activités pour la ZPM - Champ hydrothermal Endeavour;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1020;MPA Activity Plan Application Process - Gilbert Bay MPA;Processus de demande d'activités pour la ZPM - Baie Gilbert;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1021;MPA Activity Plan Application Process - Gully MPA;Processus de demande d'activités pour la ZPM - Gully;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1022;MPA Activity Plan Application Process - Hecate Strait/Queen Charlotte Sound Glas;Processus de demande d'activités pour la ZPM - Détroit d'Hécate;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1024;MPA Activity Plan Application Process - Musquash Estuary MPA;Processus de demande d'activités pour la ZPM - Estuaire de la Musquash;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1025;MPA Activity Plan Application Process - St. Anns Bank MPA;Processus de demande d'activités pour la ZPM - Banc de Sainte-Anne;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1031;Recreational Fisheries Conservation Partnerships Program Contribution Agreements;Programme de partenariats relatifs à la conservation des pêches récréatives;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2019-2020
1033;Small Craft Harbours Class Contribution Program;Programme de contribution du MPO aux ports pour petits bateaux;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1034;Small Craft Harbours Divestiture Class Grant Program;Programme de dessaisissement des ports pour petits bateaux;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023
1051;Military History and Heritage;Histoire et patrimoine militaires;National Defence;Défense nationale;133;2018-2019;2018-2019
1052;Access to Information and Privacy;Accès à l'information et de la protection des renseignements personnels;National Defence;Défense nationale;133;2018-2019;2020-2021
1053;Assistance connecting with foreign markets;Aide pour accéder aux marchés étrangers;National Defence;Défense nationale;133;2018-2019;2019-2020
1055;Drugs and Medical Devices: Permission to Market;Médicaments et instruments médicaux : Autorisation de mise en marché;Health Canada;Santé Canada;127;2018-2019;2022-2023
1056;Executrek Program;Programme ExécuTrek;National Defence;Défense nationale;133;2018-2019;2019-2020
1057;Legacy Sites Unexploded Explosive Ordnance (UXO) Program;Programme des munitions explosives non explosées (UXO) sur le anciens sites;National Defence;Défense nationale;133;2018-2019;2020-2021
1058;Compensation for Employers of Reservists Program (CERP);Programme de Dédommagement des Employeurs de Réservistes;National Defence;Défense nationale;133;2018-2019;2020-2021
1059;Natural Health Products: Permission to Market;Produits de santé naturels : Autorisation de mise en marché;Health Canada;Santé Canada;127;2018-2019;2022-2023
1060;Natural Health Products: Permission to Operate;Produits de santé naturels : Autorisation d'exploitation;Health Canada;Santé Canada;127;2018-2019;2022-2023
1062;Drugs and Medical Devices: Right to Sell Domestically;Médicaments et instruments médicaux : Droit de vendre à l'échelle nationale;Health Canada;Santé Canada;127;2018-2019;2022-2023
1088;Special Access Programs;Programmes d'accès spéciale;Health Canada;Santé Canada;127;2018-2019;2022-2023
1091;Analytical testing services;Services d’analyse;Canadian Grain Commission;Commission canadienne des grains;69;2018-2019;2018-2019
1096;Occupational Health and Safety Tribunal Canada;Tribunal de santé et sécurité au travail Canada;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1118;Prime Minister's Email;Courriel du premier ministre;Privy Council Office;Bureau du Conseil privé;278;2018-2019;2019-2020
1126;Funding transfers to administering institutions;Transfert des fonds aux établissements administrateurs;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2018-2019;2018-2019
1127;Direct funding payments;Versement direct des fonds;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2018-2019;2018-2019
1128;Grants and Awards Management;Gestion des subventions et bourses;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2018-2019;2018-2019
1131;Funding Services;Services de financement;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2019-2020
1140;The First Nations Fiscal Management Act and its institutions.;La Loi sur la gestion financière des Premières Nations et ses institutions.;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1145;Maintain and update the Indian Register;Tenir le Registre des Indiens et le mettre à jour;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1148;Secure Certificate of Indian Status;Certificat sécurisé de statut d'Indien;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1150;Treaty Payments Events;Paiement événements dans les traités;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1151;Treaty Annuity Payments;Paiement des annuités prévues dans les traités;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1159;Provide minerals prospecting permits;Délivrer des permis de prospection;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1167;Provide funding and advice to support Indigenous entrepreneurship and business d;Fournir du financement et des conseils pour soutenir l’entrepreneuriat autochtone et le développement des entreprises.;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1178;Provide funding and advice to support First Nation Economic Development Capacity;Fournir des conseils et du financement afin d’appuyer la capacité et la préparation du développement économique des Premières Nations.;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1182;Indian Land Registry;Registre des terres indiennes;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1187;Access to Information and Privacy Request Services;Service de demandes d'accès à l'information et protection des renseignements personnels;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;2018-2019;2021-2022
1188;With First Nation consent, administer and process additions to reserve applicati;Avec le consentement des Premières Nations, administrer et traiter les demandes d’ajout aux réserves afin de soutenir le développement communautaire et économique durable des Premières Nations.;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1190;Additions to Reserve;Ajouts aux réserves;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1193;Regulatory Development under the First Nations Commercial and Industrial Develop;Développement de règlements en vertu de la Loi sur le développement commercial et industriel des Premières Nations;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1196;Procurement Strategy for Aboriginal Business and the Indigenous Business Directo;Stratégie d'approvisionnement auprès des entreprises autochtones et Le répertoire des entreprises autochtones;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1197;Indigenous Business Directory;Annuaire des entreprises autochtone;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1198;Meeting Statutory/ Regulatory Obligations with Respect to Elections and Lawmakin;Respect des obligations statutaires ou réglementaires en matière d’élections et de législation;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1199;Access to Capital;Accès au capital;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1200;Prime Minister's Website;Site Web du premier ministre;Privy Council Office;Bureau du Conseil privé;278;2018-2019;2019-2020
1211;Measuring Device Prototype Approvals (new approvals);Approbation des prototypes d'appareils de mesure (nouvelles approbations);Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2021-2022
1212;First Nation Land Management;Gestion des terres des Premières Nations;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1213;Reserve Land and Environment Management Program;Programme de gestion de l'environnement et des terres de réserves;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1214;Matrimonial Real Property;Biens Immobiliers Matrimoniaux;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1215;Land Use Planning;Planification de l'utilisation des terres;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1216;First Nations Solid Waste Management Initiative;Initiative de gestion des matières résiduelles des Premières Nations;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1217;Environmental Review Process;Processus d'évaluation environnementale;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1219;Contaminated Sites On Reserve Program;Programme des sites contaminés dans les réserves;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1229;Amend, upon ministerial approval, Schedule I of The First Nation Oil And Gas And;Modifier, avec l’approbation ministérielle, l’annexe 1 de la Loi sur la gestion du pétrole et du gaz des fonds des Premières Nations pour y inclure les Premières Nations ayant tenu avec succès un vote visant à permettre l’exercice de la gouvernance a;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1230;With First Nation consent, issue leases, permits or licenses to industry stakeho;Avec le consentement des Premières Nations, délivrer des baux, des permis ou des licences aux intervenants de l’industrie pour faciliter la prospection pétrolière et gazière et la mise en valeur des ressources sur les terres des Premières Nations. As;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019
1231;Information and Transaction Services;Le service d'information et de transaction;Parks Canada;Parcs Canada;263;2018-2019;2020-2021
1232;Media Relations;Relations avec les médias;Parks Canada;Parcs Canada;263;2018-2019;2020-2021
1237;Nuans - Provide Corporate Name Search Report;Nuans-Générer un rapport de dénomination;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2022-2023
1238;Access to Information and Privacy;Accès à l'information et protection des renseignements personnel;Department of Finance Canada;Ministère des Finances Canada;124;2018-2019;2022-2023
1240;Futurpreneur Canada;Futurpreneur Canada;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2018-2019
1245;Funding for Essential Community-Based Services: Family Violence Prevention Shelt;Financement des services essentiels communautaires : Financement aux refuges pour la prévention de la violence familiale;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2019-2020
1261;Career Impact Allowance;Allocation pour incidence sur la carrière;Veterans Affairs Canada;Anciens Combattants Canada;139;2018-2019;2018-2019
1278;Earnings Loss Benefit;Allocation pour perte de revenus;Veterans Affairs Canada;Anciens Combattants Canada;139;2018-2019;2018-2019
1288;Retirement Income Security Benefit;Allocation de sécurité du revenu de retraite;Veterans Affairs Canada;Anciens Combattants Canada;139;2018-2019;2018-2019
12;Procurement Training Services;Services de formation sur l'approvisionnement;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;2018-2019;2018-2019
1311;Issuance of permits;Émission des permis;Parks Canada;Parcs Canada;263;2018-2019;2018-2019
1312;Indspire;Indspire;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2019-2020
1314;Métis Nation Post-Secondary Education Strategy;Stratégie d’éducation postsecondaire de la Nation métisse;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2019-2020
1316;Inuit Post-Secondary Strategy;Stratégie d’éducation postsecondaire des Inuits;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2019-2020
1328;Access to Information and Privacy;Accès à l'information et de protection des renseignements personnels;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;2018-2019;2021-2022
1334;Canadian Occupational Projection System;Système sur la projection des professions du Canada;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1336;Access to Information and Privacy;Accès à l’information et protection des renseignements personnels;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2020-2021
1338;Northern Ontario Development Program (NODP);Programme de développement du Nord de l'Ontario (PDNO);Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2021-2022
1340;Regional Economic Growth through Innovation (REGI);Croissance économique régionale par l'innovation (CERI);Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2021-2022
1341;Merchant Seamen Compensation Act (MServCanA);Loi sur l’indemnisation des marins marchands;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1342;Women Entrepreneurship Strategy (WES) Ecosystem Fund;Fonds pour l'écosystème de la SFE;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2018-2019
1344;Community Futures Program;Programme de développement des collectivités (PDC);Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2021-2022
1345;Economic Development Initiative (EDI);Initiative de développement économique (IDE);Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2021-2022
1346;Innovation Superclusters Initiative;Initiative des supergrappes d'innovation;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;2018-2019;2018-2019
1359;National Allegations and Complaints;Plaintes et allégations nationales;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2018-2019
1360;Forensic Investigations;Enquêtes juricomptable;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2018-2019
1361;Fraud Awareness Training;Formation de sensibilisation a la fraude;Department of Indigenous Services;Ministère des Services aux Autochtones;348;2018-2019;2018-2019
1364;Access to Information and Privacy;Accès à l'information et protection des renseignements personnels (AIPRP);Privy Council Office;Bureau du Conseil privé;278;2018-2019;2019-2020
1365;Executive correspondence services;Services de la correspondance de la haute direction;Privy Council Office;Bureau du Conseil privé;278;2018-2019;2019-2020
1370;Labour Management Collaboration Program (also known as Workplace Harassment and;Programme de collaboration syndicale-patronale (aussi connu sous le nom de Fonds de prévention du harcèlement et de la violence en milieu de travail);Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1375;Legislated Employment Equity Program (LEEP);Programme légiféré d'équité en matière d'emploi;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1376;Federal Contractors Program (FCP);Programme de contrats fédéraux;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1377;Workplace Information Services;Services d’information sur les milieux de travail;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
1380;Supplementary Retirement Benefit;Prestation de retraite supplémentaire;Veterans Affairs Canada;Anciens Combattants Canada;139;2018-2019;2018-2019
1383;Administration of the Corrections and Conditional Release Regulations;Application du Règlement sur le système correctionnel et la mise en liberté sous condition;Employment and Social Development Canada;Emploi et Développement social Canada;128;2018-2019;2018-2019
